train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.7708248496055603,0.010297303,327680,7177,0.26139934062957765,36.44,1.0084830522537231,0.0003,45,0.2,90,0.0879791259765625,211.62152202,-24.27118663787842,-0.08411624282598495,-0.01319428138085641,10,,
0.9128386974334717,0.0111259725,655360,7284,0.11431694105267524,54.19,1.0016348361968994,0.0003,89,0.2,190,0.08048095703125,317.28294126,-24.14969711303711,-0.11782048642635345,-0.012964926299173386,20,,
0.942503809928894,0.009535918,983040,7303,0.07365656234323978,65.55,0.9970231652259827,0.0003,134,0.2,290,0.07760009765625,387.10854763000003,-24.056347370147705,-0.1271863430738449,-0.012755554256727919,30,,
0.946108341217041,0.010435816,1000000,,0.07006348706781865,,0.9951315522193909,0.0003,,0.2,300,0.0802032470703125,,-24.040714073181153,-0.12779459357261658,-0.012534222769318148,,90.6,757.3330131530762
0.9487953782081604,0.009916108,1310720,7293,0.06507692039012909,76.72,0.9907713532447815,0.0003,179,0.2,390,0.085577392578125,441.717,-23.93938970565796,-0.12918156385421753,-0.013107382191810757,40,,
0.9417194128036499,0.010745604,1638400,7295,0.07600528374314308,79.54,0.9888074398040771,0.0003,224,0.2,490,0.0874237060546875,450.3116752799999,-23.88436107635498,-0.12570561468601227,-0.01317055534454994,50,,
0.9439110159873962,0.0111319,1966080,7294,0.0819414347410202,87.62,0.9937120079994202,0.0003,269,0.2,590,0.0886871337890625,535.95881559,-23.95100517272949,-0.12637090682983398,-0.013252533681225032,60,,
0.9405945539474487,0.010979189,2000000,,0.08418879434466361,,0.9934656620025635,0.0003,,0.2,610,0.0843414306640625,,-23.940148067474365,-0.12365750968456268,-0.012628083309391514,,92.4,752.0437783956528
0.9413678050041199,0.0110485945,2293760,7281,0.08569991067051888,92.93,0.992000937461853,0.0003,315,0.2,690,0.0926300048828125,583.6753060599999,-23.896585178375243,-0.12491035461425781,-0.013727335675503128,70,,
0.9394723773002625,0.011202518,2621440,7275,0.09672260470688343,96.13,0.991720974445343,0.0003,360,0.2,790,0.1002899169921875,630.93025834,-23.8697847366333,-0.12212766706943512,-0.013700646511279047,80,,
