rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
164.43449370000002,0,10,408,8660,30.6,,,,,,,,
152.66279374999996,0,20,688,8403,29.1,,,,,,,,
154.4803073,0,30,992,8428,29.166666666666668,,,,,,,,
154.425848725,0,40,1304,8480,29.875,,,,,,,,
151.75220027450982,0,50,1664,8529,29.568627450980394,,,,,,,,
153.17923381967216,0,60,1928,8582,29.83606557377049,,,,,,,,
156.023555971831,0,70,2200,8635,30.12676056338028,,,,,,,,
158.434585375,0,80,2536,8657,30.5625,,,,,,,,
156.90600636666667,0,90,2880,8738,30.233333333333334,,,,,,,,
156.23863272999998,0,100,3160,8720,30.22,,,,,,,,
155.40098253999997,0,110,3440,8735,30.18,,,,,,,,
156.84985066000002,0,120,3696,8767,30.33,,,,,,,,
156.29603314000002,0,130,4024,8813,30.32,,,,,,,,
158.07710866,0,140,4328,8772,30.38,,,,,,,,
159.35231976,0,150,4608,8760,30.59,,,,,,,,
160.82459048,0,160,4984,8771,30.7,,,,,,,,
158.6390428,0,170,5272,8763,30.42,,,,,,,,
154.82201842999999,0,180,5576,8790,29.95,,,,,,,,
160.05596938,0,190,5920,8761,30.98,,,,,,,,
159.90354704,0,200,6168,8737,30.85,,,,,,,,
162.52957300999998,0,210,6584,8753,31.22,,,,,,,,
162.24073075,0,220,6896,8758,31.35,,,,,,,,
163.08751103,0,230,7192,8766,31.55,,,,,,,,
161.13599291,0,240,7480,8760,31.2,,,,,,,,
161.13546216,0,250,7768,8772,31.08,,,,,,,,
161.26114855999998,0,260,8088,8755,31.29,,,,,,,,
161.62518491,0,270,8408,8754,31.28,,,,,,,,
163.46638982000002,0,280,8672,8778,31.44,,,,,,,,
159.96273802,1,290,9032,8784,30.81,,,,,,,,
164.05447211999999,1,300,9344,8797,31.38,,,,,,,,
162.00505475,1,310,9616,8787,31.01,,,,,,,,
163.87485014,1,320,10000,8782,31.25,,,,,,,,
161.69349603999999,1,330,10256,6929,30.86,-0.25707733631134033,31,0.991026759147644,0.0003,45.35448455810547,-16.298450469970703,,
163.39023098,1,340,10576,6309,31.27,-0.6024779677391052,71,0.9791849255561829,0.0003,12.867501258850098,-21.913883209228516,,
164.87607218000002,1,350,10912,5782,31.59,-0.9625658988952637,113,0.966907262802124,0.0003,7.6518168449401855,-23.20770263671875,,
161.75637864,2,360,11200,5427,30.97,-1.2695517539978027,149,0.9565080404281616,0.0003,6.146405220031738,-24.1920166015625,,
162.99562851,2,370,11496,5144,31.2,-1.5903387069702148,186,0.9459428787231445,0.0003,7.7238616943359375,-25.01300621032715,,
162.30363569,2,380,11808,4872,31.02,-1.9202146530151367,225,0.9349337816238403,0.0003,5.0853400230407715,-25.951576232910156,,
160.14578624,2,390,12064,4679,30.65,-2.1973025798797607,257,0.9259995818138123,0.0003,9.172847747802734,-26.87970733642578,,
156.99117331999997,2,400,12352,4489,30.19,-2.5068182945251465,293,0.916043758392334,0.0003,7.467614650726318,-28.11399269104004,,
155.79776896000004,2,410,12728,4269,30.2,-2.9114186763763428,340,0.9032111167907715,0.0003,6.9586405754089355,-29.338586807250977,,
157.99313404,3,420,13040,4110,30.68,-3.24463152885437,379,0.8927040100097656,0.0003,12.11133098602295,-30.23634910583496,,
159.27669927,3,430,13376,3961,30.94,-3.611456871032715,421,0.8815202116966248,0.0003,10.675909996032715,-31.73224639892578,,
156.32400502000002,3,440,13648,3852,30.44,-3.889164447784424,455,0.8725684881210327,0.0003,9.446815490722656,-32.62615203857422,,
156.42897775999998,3,450,13968,3741,30.44,-4.230996131896973,495,0.8621577024459839,0.0003,7.88052225112915,-33.66379165649414,,
157.05150668,3,460,14264,3641,30.5,-4.565417289733887,532,0.8526396751403809,0.0003,9.857375144958496,-34.96641159057617,,
155.95998995000002,4,470,14528,3561,30.31,-4.834289073944092,565,0.8442409038543701,0.0003,15.258678436279297,-35.47478485107422,,
158.11622676000002,4,480,14904,3459,30.78,-5.240332126617432,612,0.8324215412139893,0.0003,12.173107147216797,-37.0010871887207,,
159.77407584,4,490,15176,3392,31.04,-5.528437614440918,646,0.8239778280258179,0.0003,8.467818260192871,-38.40796661376953,,
160.09128442,4,500,15472,3327,31.11,-5.85063362121582,683,0.8148868680000305,0.0003,8.482686996459961,-39.51951599121094,,
158.61879154,4,510,15824,3254,30.78,-6.2379913330078125,727,0.8042105436325073,0.0003,10.973882675170898,-39.89727783203125,,
157.38522680999998,5,520,16072,3205,30.35,-6.489108085632324,758,0.7967715859413147,0.0003,8.516508102416992,-41.57697296142578,,
159.86152686000003,5,530,16408,3146,30.59,-6.833132743835449,800,0.7868039011955261,0.0003,16.495018005371094,-42.521244049072266,,
158.79631127000002,5,540,16688,3100,30.37,-7.13276481628418,835,0.7785977125167847,0.0003,7.3418989181518555,-43.606895446777344,,
158.59229204000002,5,550,16992,3053,30.28,-7.468037128448486,873,0.769782543182373,0.0003,9.77049446105957,-43.95143508911133,,
160.86025198999997,5,560,17312,3006,30.63,-7.812285423278809,913,0.7606189846992493,0.0003,14.092480659484863,-45.64508056640625,,
161.92769344,5,570,17592,2968,30.9,-8.100499153137207,948,0.7526934146881104,0.0003,8.148107528686523,-46.041664123535156,,
160.33281964,6,580,17976,2922,30.72,-8.471405029296875,996,0.7419627904891968,0.0003,10.138175964355469,-47.46625518798828,,
162.79424876999997,6,590,18304,2882,30.91,-8.81557846069336,1037,0.7329354286193848,0.0003,10.29388427734375,-49.10601806640625,,
