time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
10,10272,117.96386030000001,0,25.0,344,,,,,,,,
20,10377,114.57417050000001,0,24.45,560,,,,,,,,
30,10510,114.67049886666668,0,24.6,784,,,,,,,,
40,10625,108.29765935,0,23.25,1072,,,,,,,,
50,10633,113.2874342,0,24.24,1328,,,,,,,,
60,10655,114.33670273333334,0,24.433333333333334,1576,,,,,,,,
70,10625,114.06809458571428,0,24.314285714285713,1760,,,,,,,,
80,10669,112.9984645,0,24.1,2008,,,,,,,,
90,10742,114.59884513333333,0,24.444444444444443,2288,,,,,,,,
100,10456,114.04980545999997,0,24.34,2496,,,,,,,,
110,10180,110.93340850000003,0,23.73,2752,,,,,,,,
120,10240,112.52107070000002,0,24.04,2984,,,,,,,,
130,10263,113.31964741,0,24.11,3240,,,,,,,,
140,10272,116.40533110999999,0,24.73,3480,,,,,,,,
150,10310,114.76589872000001,0,24.4,3760,,,,,,,,
160,10343,114.07471516,0,24.31,4008,,,,,,,,
170,10355,114.26597404,0,24.39,4216,,,,,,,,
180,10392,114.41853582,0,24.38,4480,,,,,,,,
190,10400,114.08993574999998,0,24.37,4720,,,,,,,,
200,10419,114.43393136,0,24.44,4952,,,,,,,,
210,10455,118.13395848,0,25.22,5256,,,,,,,,
220,10467,119.08854498000001,0,25.43,5552,,,,,,,,
230,10491,119.15328041,0,25.63,5824,,,,,,,,
240,10509,118.46164095,0,25.49,6104,,,,,,,,
250,10516,119.13486384,0,25.67,6288,,,,,,,,
260,10538,118.42034758000001,0,25.46,6520,,,,,,,,
270,10551,117.46907060999997,0,25.26,6760,,,,,,,,
280,10585,117.77291314,0,25.39,7016,,,,,,,,
290,10616,115.44849969999997,0,24.86,7200,,,,,,,,
300,10656,114.77635007,0,24.72,7456,,,,,,,,
310,10681,114.06328299999997,0,24.61,7680,,,,,,,,
320,10696,112.17880306,0,24.25,7968,,,,,,,,
330,10722,111.78200783,0,24.1,8240,,,,,,,,
340,10730,112.71516433999999,0,24.39,8480,,,,,,,,
350,10737,111.89193909999999,0,24.21,8752,,,,,,,,
360,10742,112.95240622,0,24.44,8984,,,,,,,,
370,10744,114.40667389000001,0,24.77,9240,,,,,,,,
380,10759,115.97846844000001,0,25.08,9520,,,,,,,,
390,10772,117.06508101999998,0,25.28,9744,,,,,,,,
400,10779,117.50952296999999,0,25.35,9952,,,,,,,,
410,8791,116.56021185,1,25.11,10200,77.75777435302734,0.9931171536445618,24,-0.1975214183330536,0.0003,-14.052119255065918,,
420,8135,116.06258857,1,24.98,10408,12.34756851196289,0.9853897094726562,50,-0.4202093780040741,0.0003,-22.387958526611328,,
430,7358,114.36982907000001,1,24.58,10720,8.466650009155273,0.973913848400116,89,-0.7550296783447266,0.0003,-22.737438201904297,,
440,6929,113.53246985,1,24.36,10920,8.547310829162598,0.9666271209716797,114,-0.9693819880485535,0.0003,-23.059555053710938,,
450,6478,113.26242368000001,1,24.3,11184,11.215059280395508,0.9570938944816589,147,-1.2544915676116943,0.0003,-23.8823299407959,,
460,6188,112.79778307999999,1,24.22,11376,6.185993194580078,0.9502233266830444,171,-1.458186149597168,0.0003,-24.502826690673828,,
470,5889,111.41216912999998,1,23.9,11608,10.171865463256836,0.9419889450073242,200,-1.7066442966461182,0.0003,-25.423940658569336,,
480,5621,109.97082452000001,2,23.62,11856,7.160740852355957,0.933264434337616,231,-1.9769750833511353,0.0003,-26.03562355041504,,
490,5393,109.20739254,2,23.45,12088,11.230722427368164,0.9251781702041626,260,-2.2250280380249023,0.0003,-26.47432518005371,,
500,5183,108.77089103,2,23.37,12328,8.867912292480469,0.916882336139679,290,-2.478564739227295,0.0003,-27.363420486450195,,
510,5031,108.81961611000003,2,23.35,12520,5.527193069458008,0.9103015065193176,314,-2.6880598068237305,0.0003,-28.510652542114258,,
520,4822,107.68135815000001,2,23.1,12816,8.709857940673828,0.9002503752708435,351,-3.0026283264160156,0.0003,-29.486766815185547,,
530,4663,109.25059103,2,23.39,13072,14.915292739868164,0.8916515707969666,383,-3.279240131378174,0.0003,-30.075145721435547,,
540,4544,110.54760439000002,2,23.69,13280,8.278789520263672,0.8847220540046692,409,-3.505445957183838,0.0003,-30.608108520507812,,
550,4419,110.23877953000002,3,23.6,13528,15.277840614318848,0.8765311241149902,440,-3.7701141834259033,0.0003,-31.78622055053711,,
560,4302,109.10832209,3,23.34,13768,12.037123680114746,0.868678092956543,470,-4.022285461425781,0.0003,-32.64006805419922,,
570,4197,110.33508698999998,3,23.68,14008,14.604402542114258,0.8608971834182739,500,-4.280587196350098,0.0003,-33.69218444824219,,
580,4096,111.36511511999997,3,23.88,14256,14.72298526763916,0.8529319167137146,531,-4.535289764404297,0.0003,-34.02037048339844,,
590,3984,112.02624538999999,3,24.1,14544,13.28905200958252,0.8437746167182922,567,-4.860173225402832,0.0003,-34.81206512451172,,
600,3887,116.78146521000001,3,25.13,14848,12.000137329101562,0.8342171907424927,605,-5.177894592285156,0.0003,-36.78803253173828,,
610,3810,118.97960674,3,25.65,15104,11.307821273803711,0.826252818107605,637,-5.445960998535156,0.0003,-38.0477180480957,,
620,3722,120.68133825000001,4,25.98,15416,8.72035026550293,0.8166514039039612,676,-5.780604362487793,0.0003,-38.92375183105469,,
630,3676,120.11205675999997,4,25.99,15592,10.792750358581543,0.811285674571991,698,-5.95932149887085,0.0003,-39.177955627441406,,
640,3605,118.98970144000003,4,25.75,15872,6.985570907592773,0.8028219938278198,733,-6.2567644119262695,0.0003,-40.24006652832031,,
650,3550,119.23026661999998,4,25.83,16096,11.524650573730469,0.7961139678955078,761,-6.497387886047363,0.0003,-40.17670440673828,,
660,3493,121.45141867000001,4,26.3,16352,13.188236236572266,0.7885201573371887,793,-6.78330135345459,0.0003,-41.16725540161133,,
670,3429,122.70912023999999,4,26.45,16648,8.2260160446167,0.7798318266868591,830,-7.101858139038086,0.0003,-43.279029846191406,,
680,3372,123.47842547999998,5,26.59,16944,9.21689224243164,0.7712412476539612,867,-7.416544437408447,0.0003,-43.73377227783203,,
690,3325,124.80774777,5,26.88,17200,14.909858703613281,0.763888955116272,899,-7.6700921058654785,0.0003,-44.19987869262695,,
700,3275,122.74927724000001,5,26.36,17488,5.158738136291504,0.7557096481323242,935,-7.965581893920898,0.0003,-45.50467300415039,,
710,3236,122.62432888000004,5,26.28,17728,10.469049453735352,0.7489634156227112,965,-8.211668014526367,0.0003,-45.21797561645508,,
720,3196,124.31325047000001,5,26.65,17984,7.819794654846191,0.7418341636657715,997,-8.480744361877441,0.0003,-47.060298919677734,,
730,3152,124.69322238000001,5,26.67,18272,9.592582702636719,0.7339033484458923,1033,-8.754972457885742,0.0003,-46.70945739746094,,
740,3088,127.59377424,6,27.22,18704,6.651103496551514,0.7221693396568298,1087,-9.246295928955078,0.0003,-48.78546905517578,,
750,3043,138.76583234,6,29.63,19048,6.653008937835693,0.7129729986190796,1130,-9.56002426147461,0.0003,-49.44117736816406,,
760,3004,139.27172025000002,6,29.75,19376,7.979113578796387,0.7043101191520691,1171,-9.940183639526367,0.0003,-49.824134826660156,,
770,2964,139.16367318,6,29.76,19736,6.794079780578613,0.6949241757392883,1216,-10.297210693359375,0.0003,-51.78142547607422,,
780,2932,144.72773614,6,30.92,20032,5.82160758972168,0.6872987151145935,1253,-10.583108901977539,0.0003,-52.85295486450195,,
790,2901,145.61028856999997,7,31.11,20328,5.609915733337402,0.6797676086425781,1290,-10.907266616821289,0.0003,-51.78989028930664,,
800,2862,150.19457562,7,32.16,20736,4.430878639221191,0.6695371866226196,1341,-11.3115816116333,0.0003,-54.864749908447266,,
810,2830,156.62278291,7,33.46,21120,4.309965133666992,0.66005539894104,1389,-11.686017990112305,0.0003,-55.69160461425781,,
820,2784,161.90153264999998,7,34.6,21640,3.9727227687835693,0.6474387049674988,1454,-12.244343757629395,0.0003,-56.492000579833984,,
830,2754,171.37097566,8,36.43,22040,4.797791481018066,0.63789963722229,1504,-12.663043975830078,0.0003,-56.94873809814453,,
840,2730,176.25600550999997,8,37.53,22368,8.92253303527832,0.6301901936531067,1545,-12.863018035888672,0.0003,-57.452327728271484,,
850,2689,179.57128743,8,37.97,22976,4.672340393066406,0.6161611080169678,1621,-13.456329345703125,0.0003,-59.567893981933594,,
860,2648,192.66855146999998,8,40.67,23600,3.7494287490844727,0.6021177172660828,1699,-14.117713928222656,0.0003,-61.089073181152344,,
870,2623,204.47679941,9,43.2,24016,3.7693870067596436,0.5929387211799622,1751,-14.526885986328125,0.0003,-60.12063980102539,,
880,2596,207.35163723999997,9,43.84,24528,4.100397109985352,0.5818433165550232,1815,-15.039278030395508,0.0003,-60.04195022583008,,
890,2566,217.7754304,9,45.91,25144,4.837130546569824,0.568793773651123,1892,-15.524843215942383,0.0003,-62.37161636352539,,
900,2546,230.36529947000002,10,48.2,25576,4.417320728302002,0.5598349571228027,1946,-15.950063705444336,0.0003,-63.97151184082031,,
910,2521,237.92134106999998,10,49.89,26152,4.78722620010376,0.5481295585632324,2018,-16.399242401123047,0.0003,-64.23114776611328,,
920,2493,248.80154494,10,51.89,26824,5.092153549194336,0.5348086953163147,2102,-17.123943328857422,0.0003,-64.55209350585938,,
930,2470,262.64917162,11,54.88,27456,4.366230010986328,0.522585928440094,2181,-17.714452743530273,0.0003,-69.19451904296875,,
940,2443,273.81723716,11,57.0,28232,4.633388042449951,0.5080130696296692,2278,-18.330772399902344,0.0003,-68.94416809082031,,
950,2421,279.0985474,11,58.18,28840,4.329135894775391,0.49689963459968567,2354,-18.800729751586914,0.0003,-69.37721252441406,,
960,2398,284.55601776000003,12,59.24,29488,3.5422472953796387,0.4853348135948181,2435,-19.301311492919922,0.0003,-72.05130004882812,,
